🕘️更新时间,#genre#
CCTV-9,http://27.191.202.133:19999/rtp/239.254.200.59:8112
CCTV-9,http://111.113.88.146:2000/rtp/239.121.4.157:8926
CCTV-9,http://114.100.195.41:4022/rtp/238.1.78.240:7792
CCTV-10,http://114.241.251.105:4022/rtp/239.3.1.63:8116
CCTV-10,http://144.255.32.146:8288/udp/239.21.1.155:5002
CCTV-10,http://27.191.202.133:19999/rtp/239.254.200.160:6000
CCTV-10,http://117.12.149.204:4022/rtp/225.1.1.140:5002
CCTV-10,http://114.254.37.254:18888/rtp/239.3.1.63:8116
CCTV-10,http://144.255.31.40:6688/udp/239.21.1.155:5002
CCTV-10,http://114.100.195.41:4022/rtp/238.1.78.241:7800
CCTV-10,http://111.113.88.146:2000/rtp/239.121.4.158:8932
CCTV-10,http://180.105.201.135:9981/rtp/239.49.8.54:9818
CCTV-10,http://223.198.242.180:4000/rtp/239.253.64.87:5140
CCTV-11,http://111.162.204.64:8686/rtp/225.1.2.192:5002
CCTV-11,http://114.241.251.105:4022/rtp/239.3.1.152:8120
CCTV-11,http://117.12.149.204:4022/rtp/225.1.2.192:5002
CCTV-11,http://144.255.32.146:8288/udp/239.21.2.2:5002
CCTV-11,http://106.116.240.126:9999/rtp/239.254.201.123:8120
CCTV-11,http://111.113.88.146:2000/rtp/239.121.4.150:9202
CCTV-11,http://114.107.44.80:8188/rtp/238.1.78.206:7502
CCTV-11,http://114.100.195.41:4022/rtp/238.1.78.206:7502
CCTV-11,http://220.176.218.76:9000/udp/239.252.219.78:5140
CCTV-11,http://223.198.242.180:4000/rtp/239.253.64.70:5140
CCTV-12,http://111.162.204.64:8686/rtp/225.1.1.142:5002
CCTV-12,http://114.241.251.105:4022/rtp/239.3.1.64:8124
CCTV-12,http://117.12.149.204:4022/rtp/225.1.1.142:5002
CCTV-12,http://180.105.201.135:9981/rtp/239.49.8.55:9822
CCTV-12,http://180.105.201.135:9981/rtp/239.49.8.135:6000
CCTV-12,http://223.198.242.180:4000/rtp/239.253.64.97:5140
CCTV-12,http://115.171.80.250:1688/rtp/225.1.8.12:8124
CCTV-12,http://27.191.202.133:19999/rtp/239.254.200.161:6000
CCTV-12,http://114.107.44.80:8188/rtp/238.1.78.242:7808
CCTV-12,http://106.59.2.153:55555/udp/239.200.200.108:8124
CCTV-13,http://111.162.204.64:8686/rtp/225.1.2.193:5002
CCTV-13,http://117.12.149.204:4022/rtp/225.1.2.193:5002
CCTV-13,http://114.241.251.105:4022/rtp/239.3.1.124:8128
CCTV-13,http://27.191.202.133:19999/rtp/239.254.200.9:8264
CCTV-13,http://223.198.242.180:4000/rtp/239.253.64.59:5140
CCTV-13,http://114.100.195.41:4022/rtp/238.1.79.35:4392
CCTV-13,http://106.59.2.153:55555/udp/239.200.201.170:8620
CCTV-13,http://115.171.216.84:4000/rtp/225.1.8.168:8130
CCTV-13,http://106.59.2.207:55555/udp/239.200.201.170:8620
CCTV-13,http://220.176.218.76:9000/udp/239.252.219.139:5140
CCTV-14,http://111.162.204.64:8686/rtp/225.1.1.144:5002
CCTV-14,http://117.12.149.204:4022/rtp/225.1.1.144:5002
CCTV-14,http://114.241.251.105:4022/rtp/239.3.1.65:8132
CCTV-14,http://180.105.201.135:9981/rtp/239.49.8.136:6000
CCTV-14,http://114.100.195.41:4022/rtp/238.1.78.243:7816
CCTV-14,http://223.198.242.180:4000/rtp/239.253.64.115:5140
CCTV-14,http://27.191.202.133:19999/rtp/239.254.200.162:6000
CCTV-14,http://180.105.201.135:9981/rtp/239.49.8.56:9826
CCTV-14,http://114.254.37.254:18888/rtp/239.3.1.65:8132
CCTV-14,http://144.255.31.40:6688/udp/239.21.1.157:5002
CCTV-15,http://111.162.204.64:8686/rtp/225.1.2.194:5002
CCTV-15,http://117.12.149.204:4022/rtp/225.1.2.194:5002
CCTV-15,http://114.241.251.105:4022/rtp/239.3.1.153:8136
CCTV-15,http://27.191.202.133:19999/rtp/239.254.201.124:8136
CCTV-15,http://223.198.242.180:4000/rtp/239.253.64.72:5140
CCTV-15,http://115.171.80.250:1688/rtp/225.1.8.74:8136
CCTV-15,http://111.113.88.146:2000/rtp/239.121.4.202:9208
CCTV-15,http://220.176.218.76:9000/udp/239.252.219.79:5140
CCTV-15,http://114.107.44.80:8188/rtp/238.1.78.222:7648
CCTV-15,http://114.254.37.254:18888/rtp/239.3.1.153:8136
CCTV-16,http://111.162.204.64:8686/rtp/225.1.2.237:5002
CCTV-16,http://117.12.149.204:4022/rtp/225.1.2.237:5002
CCTV-16,http://223.198.242.180:4000/rtp/239.253.64.126:5140
CCTV-16,http://223.198.242.180:4000/rtp/239.253.64.251:5140
CCTV-16,http://114.241.251.105:4022/rtp/239.3.1.184:8001
CCTV-16,http://111.113.88.146:2000/rtp/239.121.4.122:8008
CCTV-16,http://106.59.2.207:55555/rtp/239.200.200.193:8776
CCTV-16,http://106.59.2.153:55555/rtp/239.200.200.194:8780
CCTV-16,http://106.59.2.207:55555/rtp/239.200.200.194:8780
CCTV-16,http://106.59.2.153:55555/rtp/239.200.200.193:8776
CCTV-17,http://111.162.204.64:8686/rtp/225.1.2.52:5002
CCTV-17,http://114.241.251.105:4022/rtp/239.3.1.151:8144
CCTV-17,http://27.191.202.133:19999/rtp/239.254.201.120:8144
CCTV-17,http://180.105.201.135:9981/rtp/239.49.8.52:9810
CCTV-17,http://180.105.201.135:9981/rtp/239.49.8.132:6000
CCTV-17,http://117.12.149.204:4022/rtp/225.1.2.52:5002
CCTV-17,http://223.198.242.180:4000/rtp/239.253.64.67:5140
CCTV-17,http://114.254.37.254:18888/rtp/239.3.1.151:8144
CCTV-17,http://114.107.44.80:8188/rtp/238.1.78.178:7296
CCTV-17,http://220.176.218.76:9000/udp/239.252.220.192:5140
CCTV-4K,http://27.191.202.133:19999/rtp/239.254.201.67:6000
CCTV-4K,http://114.100.195.41:4022/rtp/238.1.78.137:6968
CCTV-4K,http://106.59.2.207:55555/rtp/239.200.200.202:8784
CCTV-4K,http://106.59.2.153:55555/rtp/239.200.200.202:8784
CCTV-4K,http://220.176.218.76:9000/rtp/239.252.219.60:5140
CCTV-4K,http://114.107.44.80:8188/rtp/238.1.78.137:6968
CCTV-4K,http://106.116.240.126:9999/rtp/239.254.201.67:6000
CCTV-4K,http://183.236.43.98:4013/udp/239.77.0.194:5146
CHC动作电影,http://117.12.149.204:4022/rtp/225.1.1.215:5002
CHC动作电影,http://220.176.218.76:9000/udp/239.252.219.85:5140
CHC动作电影,http://106.59.2.153:55555/rtp/239.200.201.31:8144
CHC动作电影,http://106.59.2.207:55555/rtp/239.200.201.31:8144
CHC家庭影院,http://111.162.204.64:8686/rtp/225.1.1.213:5002
CHC家庭影院,http://117.12.149.204:4022/rtp/225.1.1.213:5002
CHC家庭影院,http://220.176.218.76:9000/udp/239.252.219.84:5140
CHC家庭影院,http://106.59.2.153:55555/rtp/239.200.201.30:8140
CHC家庭影院,http://106.59.2.207:55555/rtp/239.200.201.30:8140
CHC影迷电影,http://117.12.149.204:4022/rtp/225.1.1.214:5002
CHC影迷电影,http://106.59.2.153:55555/rtp/239.200.201.34:8148
CHC影迷电影,http://220.176.218.76:9000/udp/239.252.219.83:5140

☘️卫视频道,#genre#
浙江卫视,http://114.241.251.105:4022/rtp/239.3.1.137:8036
浙江卫视,http://111.162.204.64:8686/rtp/225.1.1.112:5002
浙江卫视,http://183.236.43.98:4013/udp/239.77.1.33:5146
浙江卫视,http://117.12.149.204:4022/rtp/225.1.1.112:5002
浙江卫视,http://144.255.32.146:8288/udp/239.21.1.90:5002
浙江卫视,http://180.105.201.135:9981/rtp/239.49.8.139:6000
浙江卫视,http://106.116.240.126:9999/rtp/239.254.200.53:8036
浙江卫视,http://180.105.201.135:9981/rtp/239.49.8.20:9618
浙江卫视,http://114.107.44.80:8188/rtp/238.1.78.164:7184
浙江卫视,http://144.255.31.40:6688/udp/239.21.1.90:5002
湖南卫视,http://jiugong.wulinsy.cn:39901/tsfile/live/1006_1.m3u8?key=txiptv
湖南卫视,http://111.162.204.64:8686/rtp/225.1.1.114:5002
湖南卫视,http://180.105.201.135:9981/rtp/239.49.8.12:9418
湖南卫视,http://180.105.201.135:9981/rtp/239.49.8.142:6000
湖南卫视,http://183.236.43.98:4013/udp/239.77.1.5:5146
湖南卫视,http://117.12.149.204:4022/rtp/225.1.1.114:5002
湖南卫视,http://114.241.251.105:4022/rtp/239.3.1.132:8012
湖南卫视,http://114.107.44.80:8188/rtp/238.1.78.160:7152
湖南卫视,http://106.116.240.126:9999/rtp/239.254.200.48:8012
湖南卫视,http://223.198.242.180:4000/rtp/239.253.64.114:5140
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
北京卫视,http://111.162.204.64:8686/rtp/225.1.1.113:5002
北京卫视,http://180.105.201.135:9981/rtp/239.49.8.11:9414
北京卫视,http://117.12.149.204:4022/rtp/225.1.1.113:5002
北京卫视,http://114.100.195.41:4022/rtp/238.1.78.162:7168
北京卫视,http://114.241.251.105:4022/rtp/239.3.1.241:8000
北京卫视,http://180.105.201.135:9981/rtp/239.49.8.141:6000
北京卫视,http://144.255.31.40:6688/udp/239.21.1.88:5002
北京卫视,http://27.191.202.133:19999/rtp/239.254.200.47:8024
北京卫视,http://111.113.88.146:2000/rtp/239.121.4.117:8684
东方卫视,http://111.162.204.64:8686/rtp/225.1.2.31:5002
东方卫视,http://114.241.251.105:4022/rtp/239.3.1.136:8032
东方卫视,http://117.12.149.204:4022/rtp/225.1.2.31:5002
东方卫视,http://180.105.201.135:9981/rtp/239.49.8.140:6000
东方卫视,http://180.105.201.135:9981/rtp/239.49.8.17:9606
东方卫视,http://111.113.88.146:2000/rtp/239.121.4.109:8636
东方卫视,http://144.255.31.40:6688/udp/239.21.1.111:5002
东方卫视,http://223.198.242.180:4000/rtp/239.253.64.201:5140
东方卫视,http://27.191.202.133:19999/rtp/239.254.200.52:8032
东方卫视,http://114.254.37.254:18888/rtp/239.3.1.136:8032
江苏卫视,http://180.105.201.135:9981/rtp/239.49.8.138:6000
江苏卫视,http://111.162.204.64:8686/rtp/225.1.1.126:5002
江苏卫视,http://117.12.149.204:4022/rtp/225.1.1.126:5002
江苏卫视,http://114.241.251.105:4022/rtp/239.3.1.135:8028
江苏卫视,http://27.191.202.133:19999/rtp/239.254.200.51:8028
江苏卫视,http://180.105.201.135:9981/rtp/239.49.8.16:9602
江苏卫视,http://223.198.242.180:4000/rtp/239.253.64.202:5140
江苏卫视,http://111.113.88.146:2000/rtp/239.121.4.115:8672
江苏卫视,http://114.107.44.80:8188/rtp/238.1.78.165:7192
江苏卫视,http://144.255.32.146:8288/udp/239.21.1.89:5002
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
深圳卫视,http://111.162.204.64:8686/rtp/225.1.1.117:5002
深圳卫视,http://117.12.149.204:4022/rtp/225.1.1.117:5002
深圳卫视,http://114.241.251.105:4022/rtp/239.3.1.134:8020
深圳卫视,http://180.105.201.135:9981/rtp/239.49.8.15:9430
深圳卫视,http://27.191.202.133:19999/rtp/239.254.200.50:8020
深圳卫视,http://111.113.88.146:2000/rtp/239.121.4.119:8696
深圳卫视,http://223.198.242.180:4000/rtp/239.253.64.203:5140
深圳卫视,http://180.105.201.135:9981/rtp/239.49.8.145:6000
深圳卫视,http://183.236.43.98:4013/udp/239.77.0.130:5146

☘️台湾频道,#genre#
镜电视新闻台,https://4gtv.dxjc.pp.ua/4gtv-4gtv075/index.m3u8?token=tmxk
东森新闻,https://4gtv.dxjc.pp.ua/4gtv-4gtv152/index.m3u8?token=tmxk
东森新闻,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv152/index.m3u8?token=tmxk
东森财经新闻,https://4gtv.dxjc.pp.ua/4gtv-4gtv153/index.m3u8?token=tmxk
东森财经新闻,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv153/index.m3u8?token=tmxk
华视新闻台,https://4gtv.dxjc.pp.ua/4gtv-4gtv052/index.m3u8?token=tmxk
华视新闻台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv052/index.m3u8?token=tmxk
华视新闻台,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv052/index.m3u8?token=tmxk
民视新闻,https://4gtv.dxjc.pp.ua/litv-ftv13/index.m3u8?token=tmxk
民视新闻,https://4gtv.dxjc.pp.ua/li-litv-ftv13/index.m3u8?token=tmxk
三立iNEWS,https://4gtv.dxjc.pp.ua/4gtv-live089/index.m3u8?token=tmxk
三立iNEWS,https://4gtv.dxjc.pp.ua/iNEWS/index.m3u8?token=tmxk
中视新闻台,https://4gtv.dxjc.pp.ua/4gtv-4gtv074/index.m3u8?token=tmxk
中视新闻台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv074/index.m3u8?token=tmxk
中视新闻台,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv074/index.m3u8?token=tmxk
中天新闻台,https://4gtv.dxjc.pp.ua/4gtv-4gtv009/index.m3u8?token=tmxk
中天新闻台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv009/index.m3u8?token=tmxk
中天新闻台,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv009/index.m3u8?token=tmxk
BLOOMBERG TV,https://4gtv.dxjc.pp.ua/4gtv-live059/index.m3u8?token=tmxk
寰宇新闻,https://4gtv.dxjc.pp.ua/litv-longturn14/index.m3u8?token=tmxk
寰宇新闻,https://4gtv.dxjc.pp.ua/li-litv-longturn14/index.m3u8?token=tmxk
寰宇新闻,https://4gtv.dxjc.pp.ua/of-litv-longturn14/index.m3u8?token=tmxk
寰宇新闻台湾台,https://4gtv.dxjc.pp.ua/4gtv-4gtv156/index.m3u8?token=tmxk
寰宇新闻台湾台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv156/index.m3u8?token=tmxk
寰宇新闻台湾台,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv156/index.m3u8?token=tmxk
SBN 全球财经台,https://4gtv.dxjc.pp.ua/4gtv-live060/index.m3u8?token=tmxk
NHK 新闻资讯台,https://4gtv.dxjc.pp.ua/4gtv-live168/index.m3u8?token=tmxk
FRANCE24 英文台,https://4gtv.dxjc.pp.ua/4gtv-live146/index.m3u8?token=tmxk
半岛国际新闻台,https://4gtv.dxjc.pp.ua/4gtv-live157/index.m3u8?token=tmxk
VOA 美国之音,https://4gtv.dxjc.pp.ua/litv-ftv03/index.m3u8?token=tmxk
VOA 美国之音,https://4gtv.dxjc.pp.ua/li-litv-ftv03/index.m3u8?token=tmxk
CNBC Asia 财经台,https://4gtv.dxjc.pp.ua/4gtv-live130/index.m3u8?token=tmxk
DW德国之声,https://4gtv.dxjc.pp.ua/4gtv-live071/index.m3u8?token=tmxk
非凡新闻,https://4gtv.dxjc.pp.ua/4gtv-4gtv010/index.m3u8?token=tmxk
非凡商业,https://4gtv.dxjc.pp.ua/4gtv-4gtv048/index.m3u8?token=tmxk
台视财经台,https://4gtv.dxjc.pp.ua/4gtv-4gtv056/index.m3u8?token=tmxk
ELTA娱乐,https://4gtv.dxjc.pp.ua/4gtv-4gtv070/index.m3u8?token=tmxk
ELTA娱乐,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv070/index.m3u8?token=tmxk
电影原声台 CMusic,https://4gtv.dxjc.pp.ua/4gtv-live031/index.m3u8?token=tmxk
TRACE Urban,https://4gtv.dxjc.pp.ua/4gtv-4gtv082/index.m3u8?token=tmxk
TRACE Urban,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv082/index.m3u8?token=tmxk
TRACE Urban,https://jmp2.uk/IN800007SR
TRACE Urban,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/trace-urban/encrypted.m3u8
TRACE Urban,https://jmp2.uk/str-6426.m3u8
TRACE Urban,https://jmp2.uk/plex-5e20b730f2f8d5003d739db7-6322658be67cf9cd9011fcda.m3u8
TRACE Urban,https://jmp2.uk/plex-608049aefa2b8ae93c2c3a63-6322658be67cf9cd9011fcda.m3u8
TRACE Urban,https://jmp2.uk/plex-643054b1fc3be59477853717-6322658be67cf9cd9011fcda.m3u8
TRACE Urban,https://jmp2.uk/plex-647f8d22a2fc3fadb4721685-6322658be67cf9cd9011fcda.m3u8
TRACE Urban,https://jmp2.uk/plex-64305451fc3be5947773c339-6322658be67cf9cd9011fcda.m3u8
MTV Live,https://4gtv.dxjc.pp.ua/4gtv-live025/index.m3u8?token=tmxk
Mezzo Live HD,https://4gtv.dxjc.pp.ua/4gtv-4gtv083/index.m3u8?token=tmxk
Mezzo Live HD,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv083/index.m3u8?token=tmxk
CLASSICA古典乐,https://4gtv.dxjc.pp.ua/4gtv-4gtv059/index.m3u8?token=tmxk
CLASSICA古典乐,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv059/index.m3u8?token=tmxk
Global Trekker,https://4gtv.dxjc.pp.ua/4gtv-live112/index.m3u8?token=tmxk
Lifetime,https://4gtv.dxjc.pp.ua/4gtv-live029/index.m3u8?token=tmxk
INULTRA,https://4gtv.dxjc.pp.ua/4gtv-live096/index.m3u8?token=tmxk
亚洲旅游,https://4gtv.dxjc.pp.ua/4gtv-4gtv076/index.m3u8?token=tmxk
亚洲旅游,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv076/index.m3u8?token=tmxk
亚洲旅游,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv076/index.m3u8?token=tmxk
fun探索娱乐台,https://4gtv.dxjc.pp.ua/4gtv-live011/index.m3u8?token=tmxk
幸福空间居家台,https://4gtv.dxjc.pp.ua/4gtv-live206/index.m3u8?token=tmxk
LOVE NATURE,https://4gtv.dxjc.pp.ua/4gtv-live208/index.m3u8?token=tmxk
ELTA生活旅游,https://4gtv.dxjc.pp.ua/4gtv-live120/index.m3u8?token=tmxk
LUXE TV,https://4gtv.dxjc.pp.ua/4gtv-live121/index.m3u8?token=tmxk
TV5MONDE Style,https://4gtv.dxjc.pp.ua/4gtv-live122/index.m3u8?token=tmxk
MagellanTV频道,https://4gtv.dxjc.pp.ua/4gtv-live123/index.m3u8?token=tmxk
ROCK Entertainment,https://4gtv.dxjc.pp.ua/4gtv-live080/index.m3u8?token=tmxk
ROCK Action,https://4gtv.dxjc.pp.ua/4gtv-live138/index.m3u8?token=tmxk
公视戏剧,https://4gtv.dxjc.pp.ua/4gtv-4gtv042/index.m3u8?token=tmxk
公视戏剧,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv042/index.m3u8?token=tmxk
民视影剧,https://4gtv.dxjc.pp.ua/litv-ftv09/index.m3u8?token=tmxk
民视影剧,https://4gtv.dxjc.pp.ua/li-litv-ftv09/index.m3u8?token=tmxk
HITS频道,https://4gtv.dxjc.pp.ua/4gtv-live620/index.m3u8?token=tmxk
影迷数位电影台,https://4gtv.dxjc.pp.ua/4gtv-4gtv011/index.m3u8?token=tmxk
影迷数位电影台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv011/index.m3u8?token=tmxk
amc电影台,https://4gtv.dxjc.pp.ua/4gtv-4gtv017/index.m3u8?token=tmxk
amc电影台,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv017/index.m3u8?token=tmxk
Cinema World,https://4gtv.dxjc.pp.ua/4gtv-live069/index.m3u8?token=tmxk
Animax,https://jmp2.uk/INBD13000043W
Animax,https://jmp2.uk/sam-INBD13000043W.m3u8
Animax,https://jmp2.uk/stvp-INBD13000043W
HBO Family,https://hilay.tv/l/hbofamily
Warner TV,https://hilay.tv/l/wb
Warner TV,https://maldivesn.net/hilaytv/wb
Paramount Network,https://hilay.tv/l/paramountnetwork
Discovery Asia,https://cdn4.skygo.mn/live/disk1/Discovery_Asia/HLSv3-FTA/Discovery_Asia.m3u8
Fashion TV,https://jmp2.uk/sam-INBA51000038B.m3u8
Fashion TV,https://hilay.tv/l/fashiontvhd
Fashion TV,https://ftv1.b-cdn.net/bfdbb576-83f7-11f0-9f89-0200170e3e04_1000028043_HLS/video_10801920_p_0.m3u8
Fashion TV,https://jmp2.uk/stvp-ATBA10000075C
Fashion TV,https://jmp2.uk/stvp-CHBA1000007U6
Fashion TV,https://jmp2.uk/stvp-DEBA3300022IF
Fashion TV,https://jmp2.uk/stvp-ESAJ4500017Y1
Fashion TV,https://jmp2.uk/stvp-FRAJ4500020YA
Fashion TV,https://jmp2.uk/stvp-INBA51000038B
Fashion TV,https://jmp2.uk/stvp-ITAJ4500017PG
TLC,https://d1g8wgjurz8via.cloudfront.net/bpk-tv/Tlc2/default/manifest.mpd

☘️香港频道,#genre#
凤凰卫视资讯台,http://27.191.202.133:19999/rtp/239.254.201.3:5227
凤凰卫视资讯台,http://106.116.240.126:9999/rtp/239.254.201.3:5227
